City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,66.99,overcast clouds,-33.65,115.3333,Observatory Guest House
3,Lakki Marwat,PK,52.12,clear sky,32.6079,70.9114,ستاری چائے ہوٹل
6,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
7,Cape Town,ZA,72.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
11,Hobart,AU,55.4,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,San Jose,US,57.0,scattered clouds,37.3394,-121.895,The Westin San Jose
13,Ancud,CL,59.0,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
14,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
15,Antalaha,MG,76.44,light rain,-14.9003,50.2788,Hotel Vitasoa
16,Bredasdorp,ZA,69.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
18,Faanui,PF,81.07,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Fortuna,US,53.01,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
20,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Rikitea,PF,77.94,overcast clouds,-23.1203,-134.9692,Pension Maro'i
23,Mae Sot,TH,63.77,scattered clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
24,Dicabisagan,PH,69.62,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
27,Kahului,US,71.6,broken clouds,20.8947,-156.47,Maui Seaside Hotel
30,Saldanha,ZA,68.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
32,Cidreira,BR,81.07,clear sky,-30.1811,-50.2056,Hotel Castelo
33,Mocuba,MZ,77.2,overcast clouds,-16.8392,36.9856,Phama Lodge
34,Hithadhoo,MV,80.92,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Najran,SA,55.4,clear sky,17.4924,44.1277,محمد هادي ال فطيح
37,Saint-Pierre,RE,78.8,broken clouds,-21.3393,55.4781,Lindsey Hôtel
39,Hermanus,ZA,66.0,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Yarada,IN,69.8,mist,17.65,83.2667,"D-26/2, Dolphin Hill,"
43,Mataura,NZ,52.0,broken clouds,-46.1927,168.8643,Ellie's Villa
44,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
45,Punta Arenas,CL,53.6,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
46,Butaritari,KI,81.48,light rain,3.0707,172.7902,Isles Sunset Lodge
48,Lebu,CL,60.49,clear sky,-37.6167,-73.65,Hostal Las Lilas
49,Sao Filipe,CV,73.4,clear sky,14.8961,-24.4956,Tortuga B&B
50,Bluff,NZ,52.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
51,Carnarvon,AU,80.6,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
52,Arraial Do Cabo,BR,84.2,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
57,Hobyo,SO,75.83,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
59,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
60,Bryan,US,52.0,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
63,North Bend,US,50.0,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
65,Kano,NG,78.8,clear sky,12.0001,8.5167,Royal Tropicana Hotel
66,Port Elizabeth,ZA,71.6,light rain,-33.918,25.5701,39 On Nile Guest House
70,Vangaindrano,MG,75.34,light rain,-23.35,47.6,Hotel Fanilo
72,Port Moresby,PG,77.0,moderate rain,-9.4431,147.1797,Lamana Hotel
80,Tuy Hoa,VN,70.25,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
85,Ushuaia,AR,60.8,light rain,-54.8,-68.3,Albatros Hotel
88,Victor Harbor,AU,71.01,scattered clouds,-35.5667,138.6167,McCracken Country Club
90,Manta,EC,80.6,light rain,-0.95,-80.7333,Balandra Hotel
94,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
97,Santa Rosa,PH,77.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
99,Castro,BR,74.95,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
100,Atuona,PF,78.08,overcast clouds,-9.8,-139.0333,Villa Enata
101,Hirara,JP,58.82,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
102,Tessalit,ML,77.7,clear sky,20.1986,1.0114,
105,Kapaa,US,68.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
