,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,66.99,81,87,5.01,overcast clouds
1,Diamantino,BR,-14.4086,-56.4461,92.34,50,96,2.55,overcast clouds
2,Jamestown,US,42.097,-79.2353,34.0,64,90,8.05,overcast clouds
3,Lakki Marwat,PK,32.6079,70.9114,52.12,42,0,3.29,clear sky
4,Ostersund,SE,63.1792,14.6357,19.4,86,100,14.97,overcast clouds
5,Tasiilaq,GL,65.6145,-37.6368,15.8,48,20,1.14,few clouds
6,Grand Gaube,MU,-20.0064,57.6608,79.0,84,0,3.0,clear sky
7,Cape Town,ZA,-33.9258,18.4232,72.0,68,20,14.97,few clouds
8,Juneau,US,58.3019,-134.4197,41.0,56,90,17.27,overcast clouds
9,Barrow,US,71.2906,-156.7887,-0.4,71,90,4.61,overcast clouds
10,Shelburne,CA,44.0787,-80.2041,33.8,51,1,5.75,clear sky
11,Hobart,AU,-42.8794,147.3294,55.4,88,90,3.44,overcast clouds
12,San Jose,US,37.3394,-121.895,57.0,44,40,4.85,scattered clouds
13,Ancud,CL,-41.8697,-73.8203,59.0,87,75,13.8,light rain
14,Puerto Ayora,EC,-0.7393,-90.3518,84.2,58,0,14.97,clear sky
15,Antalaha,MG,-14.9003,50.2788,76.44,84,5,3.91,light rain
16,Bredasdorp,ZA,-34.5322,20.0403,69.8,64,4,12.66,clear sky
17,Talnakh,RU,69.4865,88.3972,-25.37,84,41,0.34,scattered clouds
18,Faanui,PF,-16.4833,-151.75,81.07,71,5,13.02,clear sky
19,Fortuna,US,40.5982,-124.1573,53.01,81,1,6.91,clear sky
20,Souillac,MU,-20.5167,57.5167,78.8,94,75,11.5,light rain
21,Rikitea,PF,-23.1203,-134.9692,77.94,76,100,12.91,overcast clouds
22,Aksarka,RU,66.5606,67.7975,-10.77,90,100,13.27,overcast clouds
23,Mae Sot,TH,16.7167,98.5667,63.77,70,25,2.3,scattered clouds
24,Dicabisagan,PH,17.0818,122.4157,69.62,84,100,12.5,overcast clouds
25,Tornio,FI,65.8481,24.1466,14.0,92,100,6.91,light snow
26,Haines Junction,CA,60.7522,-137.5108,21.2,86,100,1.14,overcast clouds
27,Kahului,US,20.8947,-156.47,71.6,68,75,6.91,broken clouds
28,Matagami,CA,49.7502,-77.6328,21.2,100,90,9.22,overcast clouds
29,Linguere,SN,15.3953,-15.1193,87.8,37,0,9.22,clear sky
30,Saldanha,ZA,-33.0117,17.9442,68.0,68,0,14.97,clear sky
31,Turukhansk,RU,65.8167,87.9833,-9.54,90,98,2.86,overcast clouds
