City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,66.2,72,81,6.93,ZA,2021-01-07 01:55:23
1,Dwarka,22.2394,68.9678,65.79,55,1,14.7,IN,2021-01-07 01:55:23
2,Hobart,-42.8794,147.3294,73.0,51,20,12.75,AU,2021-01-07 01:55:23
3,Punta Arenas,-53.15,-70.9167,50.0,87,81,8.05,CL,2021-01-07 01:52:09
4,Tocopilla,-22.092,-70.1979,68.76,64,0,2.86,CL,2021-01-07 01:55:24
5,Busselton,-33.65,115.3333,89.01,32,99,1.99,AU,2021-01-07 01:55:24
6,Hilo,19.7297,-155.09,80.6,61,75,3.36,US,2021-01-07 01:53:26
7,Saskylakh,71.9167,114.0833,9.46,92,100,27.65,RU,2021-01-07 01:55:24
8,Mahebourg,-20.4081,57.7,71.6,88,40,3.36,MU,2021-01-07 01:55:25
9,Harper,4.375,-7.7169,78.51,85,96,8.86,LR,2021-01-07 01:55:25
10,Ushuaia,-54.8,-68.3,55.4,58,75,5.82,AR,2021-01-07 01:55:26
11,Lebu,-37.6167,-73.65,57.87,91,30,12.66,CL,2021-01-07 01:55:26
12,Balkanabat,39.5108,54.3671,35.31,64,0,9.84,TM,2021-01-07 01:55:26
13,Puerto Ayora,-0.7393,-90.3518,73.0,91,24,1.99,EC,2021-01-07 01:55:27
14,Avarua,-21.2078,-159.775,84.2,74,4,10.29,CK,2021-01-07 01:55:27
15,Albany,42.6001,-73.9662,30.99,73,90,8.99,US,2021-01-07 01:55:27
16,Nikolskoye,59.7035,30.7861,26.6,86,90,11.18,RU,2021-01-07 01:55:28
17,Butaritari,3.0707,172.7902,82.27,80,0,19.73,KI,2021-01-07 01:55:28
18,Dikson,73.5069,80.5464,13.71,96,100,25.52,RU,2021-01-07 01:55:28
19,Kuching,1.55,110.3333,80.6,88,20,2.24,MY,2021-01-07 01:55:28
20,Hithadhoo,-0.6,73.0833,82.63,78,91,16.91,MV,2021-01-07 01:55:28
21,Sitka,57.0531,-135.33,41.0,75,90,12.75,US,2021-01-07 01:55:29
22,Cape Town,-33.9258,18.4232,64.4,82,0,10.29,ZA,2021-01-07 01:55:23
23,Tuktoyaktuk,69.4541,-133.0374,-23.8,74,5,4.7,CA,2021-01-07 01:55:29
24,Ginir,7.1333,40.7,53.01,58,0,2.39,ET,2021-01-07 01:55:29
25,Vaini,-21.2,-175.2,86.0,79,40,8.05,TO,2021-01-07 01:55:30
26,Khandyga,62.6667,135.6,-46.01,77,89,2.26,RU,2021-01-07 01:55:30
27,Orange Cove,36.6244,-119.3137,54.0,100,1,6.93,US,2021-01-07 01:55:30
28,Thompson,55.7435,-97.8558,23.0,100,90,4.7,CA,2021-01-07 01:50:38
29,Bubaque,11.2833,-15.8333,79.65,75,29,8.99,GW,2021-01-07 01:55:31
30,Coihaique,-45.5752,-72.0662,57.2,62,40,6.93,CL,2021-01-07 01:55:31
31,Lavrentiya,65.5833,-171.0,-13.34,84,71,6.64,RU,2021-01-07 01:55:31
32,Bambous Virieux,-20.3428,57.7575,73.0,88,40,3.36,MU,2021-01-07 01:55:31
33,New Norfolk,-42.7826,147.0587,73.0,40,0,1.99,AU,2021-01-07 01:55:32
34,Bluff,-46.6,168.3333,61.0,89,100,5.99,NZ,2021-01-07 01:55:32
35,Arraial Do Cabo,-22.9661,-42.0278,75.43,89,99,21.09,BR,2021-01-07 01:51:21
36,Yulara,-25.2406,130.9889,82.4,17,0,13.87,AU,2021-01-07 01:55:32
37,Tirat Karmel,32.7617,34.9719,64.0,55,100,3.0,IL,2021-01-07 01:55:33
38,Phalaborwa,-23.943,31.1411,68.0,94,100,11.41,ZA,2021-01-07 01:55:33
39,Kenai,60.5544,-151.2583,28.99,68,75,19.46,US,2021-01-07 01:55:33
40,Souillac,-20.5167,57.5167,71.6,88,40,3.36,MU,2021-01-07 01:55:33
41,Esperance,-33.8667,121.9,69.8,46,0,13.87,AU,2021-01-07 01:55:33
42,Kapaa,22.0752,-159.319,78.8,74,20,16.11,US,2021-01-07 01:55:34
43,Iqaluit,63.7506,-68.5145,-18.4,61,20,14.99,CA,2021-01-07 01:55:34
44,Georgetown,5.4112,100.3354,81.0,83,20,4.7,MY,2021-01-07 01:55:17
45,Roald,62.5833,6.1333,33.8,59,6,12.75,NO,2021-01-07 01:55:34
46,Port Elizabeth,-33.918,25.5701,62.6,93,0,6.44,ZA,2021-01-07 01:55:35
47,East London,-33.0153,27.9116,67.48,80,0,7.83,ZA,2021-01-07 01:55:35
48,Pacific Grove,36.6177,-121.9166,55.99,71,1,7.11,US,2021-01-07 01:55:35
49,Asau,46.4333,26.4,35.01,72,100,3.15,RO,2021-01-07 01:55:35
50,Saint-Philippe,-21.3585,55.7679,75.2,69,20,8.05,RE,2021-01-07 01:55:36
51,Kalemie,-5.9475,29.1947,70.12,84,51,2.04,CD,2021-01-07 01:55:36
52,Daru,-9.0763,143.2092,85.8,75,96,3.8,PG,2021-01-07 01:55:36
53,Manggar,-2.8833,108.2667,83.08,75,100,7.18,ID,2021-01-07 01:55:36
54,Kavieng,-2.5744,150.7967,84.4,71,84,6.96,PG,2021-01-07 01:55:37
55,Vostok,46.4856,135.8833,-9.13,85,100,3.87,RU,2021-01-07 01:55:37
56,Vilyuysk,63.7553,121.6247,-10.79,90,100,6.17,RU,2021-01-07 01:55:37
57,Prince Rupert,54.3161,-130.3201,44.6,86,90,9.17,CA,2021-01-07 01:55:37
58,Alvaraes,-3.2208,-64.8042,74.07,96,88,1.52,BR,2021-01-07 01:55:38
59,Huarmey,-10.0681,-78.1522,70.54,76,96,5.61,PE,2021-01-07 01:55:38
60,Rikitea,-23.1203,-134.9692,77.9,61,0,7.36,PF,2021-01-07 01:55:38
61,Changji,44.0167,87.3167,-9.4,83,0,2.24,CN,2021-01-07 01:55:38
62,Chapais,49.7834,-74.8492,21.2,92,90,14.99,CA,2021-01-07 01:55:39
63,Anadyr,64.75,177.4833,-20.0,68,0,6.71,RU,2021-01-07 01:55:39
64,Atuona,-9.8,-139.0333,77.41,75,1,15.26,PF,2021-01-07 01:55:39
65,Christchurch,-43.5333,172.6333,79.0,50,69,17.22,NZ,2021-01-07 01:51:54
66,Provideniya,64.3833,-173.3,-6.61,83,11,4.65,RU,2021-01-07 01:55:40
67,Margate,51.3813,1.3862,37.99,76,100,5.01,GB,2021-01-07 01:55:40
68,Linhares,-19.3911,-40.0722,72.09,88,68,3.53,BR,2021-01-07 01:55:40
69,Dingle,10.9995,122.6711,82.04,79,24,13.35,PH,2021-01-07 01:55:41
70,Portland,45.5234,-122.6762,46.99,100,90,9.17,US,2021-01-07 01:53:43
71,Ulladulla,-35.35,150.4667,66.0,100,75,14.99,AU,2021-01-07 01:55:41
72,Coracao De Jesus,-16.6853,-44.365,69.64,88,100,4.09,BR,2021-01-07 01:55:41
73,Imbituba,-28.24,-48.6703,77.0,88,20,2.24,BR,2021-01-07 01:55:41
74,Pokhara,28.2333,83.9833,61.11,28,0,5.79,NP,2021-01-07 01:55:42
75,Ilulissat,69.2167,-51.1,30.2,80,100,17.22,GL,2021-01-07 01:55:42
76,Hermanus,-34.4187,19.2345,64.0,79,5,9.53,ZA,2021-01-07 01:55:42
77,Kuna,43.4918,-116.4201,39.99,80,20,8.05,US,2021-01-07 01:52:22
78,Hirara,24.8,125.2833,59.0,93,75,20.8,JP,2021-01-07 01:55:42
79,Lompoc,34.6391,-120.4579,55.4,76,1,8.05,US,2021-01-07 01:55:43
80,Mataura,-46.1927,168.8643,61.0,89,100,5.99,NZ,2021-01-07 01:55:43
81,Katsuura,35.1333,140.3,52.0,32,40,31.09,JP,2021-01-07 01:55:43
82,Faya,18.3851,42.4509,51.8,93,0,2.24,SA,2021-01-07 01:55:44
83,Mar Del Plata,-38.0023,-57.5575,68.0,94,75,6.93,AR,2021-01-07 01:55:44
